id,university,subject,close,first_result,interview,finale_rusult
284,경희대학교(고교연계),식품영양학과,9/11~9/15,-,-,11월 22일
285,경희대학교(고교연계),수학과,9/11~9/15,-,-,11월 22일
286,경희대학교(고교연계),물리학과,9/11~9/15,-,-,11월 22일
287,경희대학교(고교연계),화학과,9/11~9/15,-,-,11월 22일
288,경희대학교(고교연계),생물학과,9/11~9/15,-,-,11월 22일
289,경희대학교(고교연계),지리학과(자연),9/11~9/15,-,-,11월 22일
290,경희대학교(고교연계),정보디스플레이학과,9/11~9/15,-,-,11월 22일
291,경희대학교(고교연계),기계공학과,9/11~9/15,-,-,11월 22일
292,경희대학교(고교연계),산업경영공학과,9/11~9/15,-,-,11월 22일
293,경희대학교(고교연계),원자력공학과,9/11~9/15,-,-,11월 22일
294,경희대학교(고교연계),화학공학과,9/11~9/15,-,-,11월 22일
295,경희대학교(고교연계),정보전자신소재공학과,9/11~9/15,-,-,11월 22일
296,경희대학교(고교연계),사회기반시스템공학과,9/11~9/15,-,-,11월 22일
297,경희대학교(고교연계),건축공학과,9/11~9/15,-,-,11월 22일
298,경희대학교(고교연계),환경학및환경공학과,9/11~9/15,-,-,11월 22일
299,경희대학교(고교연계),건축학과(5년제)(자연),9/11~9/15,-,-,11월 22일
300,경희대학교(고교연계),전자공학과,9/11~9/15,-,-,11월 22일
301,경희대학교(고교연계),컴퓨터공학과,9/11~9/15,-,-,11월 22일
302,경희대학교(고교연계),생체의공학과,9/11~9/15,-,-,11월 22일
303,경희대학교(고교연계),소프트웨어융합학과,9/11~9/15,-,-,11월 22일
304,경희대학교(고교연계),응용수학과,9/11~9/15,-,-,11월 22일
305,경희대학교(고교연계),응용물리학과,9/11~9/15,-,-,11월 22일
306,경희대학교(고교연계),응용화학과,9/11~9/15,-,-,11월 22일
307,경희대학교(고교연계),우주과학과,9/11~9/15,-,-,11월 22일
308,경희대학교(고교연계),유전공학과,9/11~9/15,-,-,11월 22일
309,경희대학교(고교연계),식품생명공학과,9/11~9/15,-,-,11월 22일
310,경희대학교(고교연계),한방재료공학과,9/11~9/15,-,-,11월 22일
311,경희대학교(고교연계),식물환경신소재공학과,9/11~9/15,-,-,11월 22일
